nc_file,variable,band,year,scenario,output_name
SSP2-19-SPA2-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2080,SSP2-19,MAgPIE_energy_crops_rf_SSP2-19_2080.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2090,SSP2-19,MAgPIE_energy_crops_rf_SSP2-19_2090.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2100,SSP2-19,MAgPIE_energy_crops_rf_SSP2-19_2100.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,forest,Land Cover|Forest,2010,SSP2-19,MAgPIE_forest_total_SSP2-19_2010.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,forest,Land Cover|Forest,2020,SSP2-19,MAgPIE_forest_total_SSP2-19_2020.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,forest,Land Cover|Forest,2030,SSP2-19,MAgPIE_forest_total_SSP2-19_2030.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,forest,Land Cover|Forest,2040,SSP2-19,MAgPIE_forest_total_SSP2-19_2040.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,forest,Land Cover|Forest,2050,SSP2-19,MAgPIE_forest_total_SSP2-19_2050.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,forest,Land Cover|Forest,2060,SSP2-19,MAgPIE_forest_total_SSP2-19_2060.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,forest,Land Cover|Forest,2070,SSP2-19,MAgPIE_forest_total_SSP2-19_2070.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,forest,Land Cover|Forest,2080,SSP2-19,MAgPIE_forest_total_SSP2-19_2080.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,forest,Land Cover|Forest,2090,SSP2-19,MAgPIE_forest_total_SSP2-19_2090.tif
SSP2-19-SPA2-V16_LandCover_V2.nc,forest,Land Cover|Forest,2100,SSP2-19,MAgPIE_forest_total_SSP2-19_2100.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2020,SSP2-26,MAgPIE_energy_crops_ir_SSP2-26_2020.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2030,SSP2-26,MAgPIE_energy_crops_ir_SSP2-26_2030.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2040,SSP2-26,MAgPIE_energy_crops_ir_SSP2-26_2040.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2050,SSP2-26,MAgPIE_energy_crops_ir_SSP2-26_2050.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2060,SSP2-26,MAgPIE_energy_crops_ir_SSP2-26_2060.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2070,SSP2-26,MAgPIE_energy_crops_ir_SSP2-26_2070.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2080,SSP2-26,MAgPIE_energy_crops_ir_SSP2-26_2080.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2090,SSP2-26,MAgPIE_energy_crops_ir_SSP2-26_2090.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_ir,Land Cover|Cropland|Bio|Irrigated,2100,SSP2-26,MAgPIE_energy_crops_ir_SSP2-26_2100.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2020,SSP2-26,MAgPIE_energy_crops_rf_SSP2-26_2020.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2030,SSP2-26,MAgPIE_energy_crops_rf_SSP2-26_2030.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2040,SSP2-26,MAgPIE_energy_crops_rf_SSP2-26_2040.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2050,SSP2-26,MAgPIE_energy_crops_rf_SSP2-26_2050.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2060,SSP2-26,MAgPIE_energy_crops_rf_SSP2-26_2060.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2070,SSP2-26,MAgPIE_energy_crops_rf_SSP2-26_2070.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2080,SSP2-26,MAgPIE_energy_crops_rf_SSP2-26_2080.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2090,SSP2-26,MAgPIE_energy_crops_rf_SSP2-26_2090.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,energy_crops_rf,Land Cover|Cropland|Bio|Rainfed,2100,SSP2-26,MAgPIE_energy_crops_rf_SSP2-26_2100.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,forest,Land Cover|Forest,2010,SSP2-26,MAgPIE_forest_total_SSP2-26_2010.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,forest,Land Cover|Forest,2020,SSP2-26,MAgPIE_forest_total_SSP2-26_2020.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,forest,Land Cover|Forest,2030,SSP2-26,MAgPIE_forest_total_SSP2-26_2030.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,forest,Land Cover|Forest,2040,SSP2-26,MAgPIE_forest_total_SSP2-26_2040.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,forest,Land Cover|Forest,2050,SSP2-26,MAgPIE_forest_total_SSP2-26_2050.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,forest,Land Cover|Forest,2060,SSP2-26,MAgPIE_forest_total_SSP2-26_2060.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,forest,Land Cover|Forest,2070,SSP2-26,MAgPIE_forest_total_SSP2-26_2070.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,forest,Land Cover|Forest,2080,SSP2-26,MAgPIE_forest_total_SSP2-26_2080.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,forest,Land Cover|Forest,2090,SSP2-26,MAgPIE_forest_total_SSP2-26_2090.tif
SSP2-26-SPA2-V15_LandCover_V2.nc,forest,Land Cover|Forest,2100,SSP2-26,MAgPIE_forest_total_SSP2-26_2100.tif
